<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20070109;000000;298.0000000;298.0000000;286.1200000;286.6800000;38393741
20070110;000000;287.6000000;292.3500000;281.3600000;291.7700000;64174959
20070111;000000;289.0100000;294.9000000;287.5000000;292.0000000;46891652
20070112;000000;289.9700000;291.5600000;286.3000000;287.5000000;33003980
20070115;000000;290.9900000;294.9900000;290.1000000;294.1200000;32210892
20070116;000000;293.5100000;296.6000000;287.0000000;287.0000000;49713591
20070117;000000;286.5100000;288.9900000;278.4000000;279.1900000;55147782
20070118;000000;284.0000000;286.2500000;278.5100000;278.7700000;47394102
20070119;000000;278.9900000;285.5000000;276.4000000;285.4400000;39456540
20070122;000000;289.0000000;290.4000000;285.7000000;288.8900000;39243755
20070123;000000;286.0000000;287.7700000;284.4500000;285.7000000;28471773
20070124;000000;289.9000000;291.3500000;286.0400000;287.5900000;34798061
20070125;000000;289.2100000;292.8500000;288.5000000;290.2000000;37372570
20070126;000000;287.9200000;288.3500000;286.2500000;286.8000000;25030304
20070129;000000;289.5000000;289.5000000;282.8400000;283.4500000;24620790
20070130;000000;281.4800000;285.8700000;280.0000000;285.3000000;24393527
20070131;000000;289.0000000;289.2300000;283.5100000;285.0000000;31054338
20070201;000000;288.3200000;292.2000000;286.9000000;287.9500000;50828449
20070202;000000;288.9600000;290.4500000;287.8100000;289.0500000;21043521
20070205;000000;291.7800000;291.9800000;288.0100000;290.1200000;18887791
20070206;000000;289.2500000;293.9800000;289.1000000;290.8500000;36068186
20070207;000000;290.4500000;290.8000000;285.7000000;286.3900000;34976064
20070208;000000;284.8000000;285.3900000;279.0200000;280.1000000;43212997
20070209;000000;284.1900000;284.8400000;277.5000000;278.4700000;29987028
20070212;000000;277.0000000;277.0000000;268.3100000;268.8000000;43175555
20070213;000000;267.0000000;276.4900000;265.0800000;274.7000000;58265148
20070214;000000;278.9000000;281.8800000;276.8100000;281.8700000;53662551
20070215;000000;281.1000000;282.9000000;278.0700000;278.9200000;29192158
20070216;000000;279.5000000;283.3400000;276.5500000;282.5000000;34983360
20070219;000000;283.5500000;286.6900000;283.2100000;283.5200000;30794920
20070220;000000;284.0000000;284.4800000;278.5200000;278.5300000;25710508
20070221;000000;279.4700000;282.1000000;278.8100000;280.2000000;20077547
20070222;000000;282.5000000;283.4100000;281.0400000;282.0000000;17902962
20070226;000000;284.1800000;285.8000000;282.7500000;284.9500000;29381271
20070227;000000;283.2000000;283.4500000;272.3000000;276.3000000;42853889
20070228;000000;270.4900000;270.9900000;262.0100000;267.4200000;68015400
20070301;000000;266.2500000;270.4000000;249.0000000;256.7700000;76658669
20070302;000000;258.5000000;261.4800000;253.7100000;260.9000000;64588937
20070305;000000;249.7500000;250.5000000;239.8000000;250.0000000;68386538
20070306;000000;253.8800000;256.4900000;251.8100000;253.5300000;48436861
20070307;000000;256.5100000;257.8800000;250.2900000;254.0900000;39382622
20070309;000000;260.1500000;268.5100000;259.6900000;264.8400000;66015531
20070312;000000;264.0000000;268.2000000;259.7500000;261.0500000;47744392
20070313;000000;261.9800000;264.1700000;257.5200000;260.3000000;54432098
20070314;000000;248.9700000;254.8500000;243.0000000;253.8000000;84750948
20070315;000000;256.5000000;258.8700000;251.7700000;255.4500000;43958919
20070316;000000;254.1000000;256.4400000;253.1000000;254.6000000;27364878
20070319;000000;257.1200000;258.5000000;254.4200000;258.0000000;35715128
20070320;000000;259.0000000;259.5500000;251.5300000;254.5000000;45908877
20070321;000000;255.0000000;255.0000000;251.0100000;253.1200000;27765051
20070322;000000;257.6000000;263.1900000;254.2500000;260.4900000;79654893
20070323;000000;261.7000000;269.5600000;259.5500000;269.2000000;70596008
20070326;000000;270.0100000;275.4000000;270.0000000;274.5000000;71982429
20070327;000000;272.0000000;273.2900000;267.7800000;268.8100000;61571328
20070328;000000;269.9000000;274.7000000;268.5500000;271.9700000;58006377
20070329;000000;270.1500000;274.4200000;270.0100000;273.8000000;39682479
20070330;000000;276.5000000;277.4500000;269.8000000;270.9800000;44879961
20070402;000000;270.9800000;271.2900000;267.3000000;269.4800000;19490671
20070403;000000;270.7000000;271.0000000;265.1500000;266.7700000;22992420
20070404;000000;268.1000000;272.6000000;267.0100000;268.6000000;35112056
20070405;000000;269.7700000;270.9000000;268.4000000;270.2200000;18285011
20070406;000000;270.1800000;270.2200000;267.5400000;267.8900000;17673924
20070409;000000;269.1900000;271.9000000;268.3000000;269.2500000;23367369
20070410;000000;266.9500000;269.5600000;265.0700000;268.5000000;33888149
20070411;000000;270.4800000;276.4800000;270.0200000;273.8100000;81405551
20070412;000000;272.6300000;274.9000000;270.2000000;270.5100000;45305975
20070413;000000;273.9800000;274.5000000;271.5000000;271.9000000;36802441
20070416;000000;271.9000000;272.0100000;265.6200000;267.5000000;46738640
20070417;000000;266.0400000;266.0900000;260.5000000;260.9500000;40560667
20070418;000000;259.5700000;261.5000000;257.0000000;257.6000000;26725284
20070419;000000;254.9000000;255.0000000;249.5000000;251.9800000;36824767
20070420;000000;255.4700000;260.4000000;254.6100000;260.3000000;20606065
20070423;000000;261.6000000;262.4900000;256.1000000;258.1000000;24184045
20070424;000000;258.1500000;259.8000000;255.3100000;257.6500000;18409056
20070425;000000;255.4700000;261.5700000;254.1100000;260.2500000;25634841
20070426;000000;262.8000000;263.4500000;258.4700000;260.0000000;24543710
20070427;000000;259.5000000;259.7500000;254.0000000;255.5000000;23095751
