Base Currency,Quote Currency,Prime Supported,Exchange Supported,Custody Supported,Tradeable in NY?
UNI,USDC,No,No,Yes,Yes
USDC,EUR,No,Yes,Yes,Yes
USDC,GBP,No,Yes,Yes,Yes
USDT,GBP,No,Yes,Yes,No
VGX,EUR,No,Yes,Yes,Yes
VGX,USDC,No,No,Yes,Yes
VOXEL,USD,No,Yes,No,No
VOXEL,USDC,No,No,No,No
WAMPL,USDC,No,No,Yes,Yes
WAMPL,USDC,No,No,Yes,Yes
WAXL,USDC,No,No,Yes,No
WBTC,USDC,No,No,Yes,Yes
WCFG,EUR,No,Yes,Yes,Yes
WCFG,EUR,No,Yes,Yes,Yes
WCFG,USDC,No,No,Yes,Yes
WCFG,USDC,No,No,Yes,Yes
WCFG,USDT,No,Yes,Yes,Yes
WCFG,USDT,No,Yes,Yes,Yes
XCN,USDC,No,No,Yes,No
XLM,EUR,No,Yes,Yes,Yes
XLM,USDC,No,No,Yes,Yes
XTZ,EUR,No,Yes,Yes,Yes
XTZ,GBP,No,Yes,Yes,Yes
XTZ,USDC,No,No,Yes,Yes
XYO,EUR,No,Yes,Yes,No
XYO,USDC,No,No,Yes,No
YFI,USDC,No,No,Yes,Yes
ZEN,USDC,No,No,Yes,No
ZEN,USDC,No,No,Yes,No
ZRX,EUR,No,Yes,Yes,Yes
ZRX,USDC,No,No,Yes,Yes
,"*Please note, asset support for Custody differs depending on the entity your are contracted with across Coinbase Custody Trust Company, LLC, Coinbase Custody International, Ltd and Coinbase Germany. Please check this weblink for further detail. ",,,,
