Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,168.839996,171.100006,167.119995,170.100006,102.905922,15012689
2010-03-04,169.009995,174.440002,168.369995,172.270004,104.218704,22078020
2010-03-05,174.050003,177.559998,173.759995,176.800003,106.959213,27804988
2010-03-09,176.610001,178.089996,174.339996,175.470001,106.154625,20023702
2010-03-10,174.800003,177.710007,172.649994,173.770004,105.126167,19300420
2010-03-11,173.009995,174.690002,170.399994,170.619995,103.220490,17311166
2010-03-12,172.399994,174.699997,171.470001,172.710007,104.484886,19784850
2010-03-15,171.550003,172.699997,168.910004,169.270004,102.403778,14757195
2010-03-16,169.970001,171.979996,169.529999,171.350006,103.662125,16842416
2010-03-17,173.020004,174.220001,170.690002,171.940002,104.019073,19591574
2010-03-18,171.199997,173.289993,170.350006,170.600006,103.208389,15940418
2010-03-19,171.000000,171.970001,166.389999,167.059998,101.066788,19885916
2010-03-22,166.339996,169.639999,164.889999,169.289993,102.415878,18650256
2010-03-23,170.009995,170.330002,165.960007,167.600006,101.393463,38634228
2010-03-24,168.000000,168.960007,164.720001,164.850006,99.729805,18753456
2010-03-25,165.000000,166.000000,160.110001,162.300003,98.187111,26195656
2010-03-26,161.970001,162.740005,159.490005,161.100006,97.461151,25377112
2010-03-29,161.000000,165.139999,160.009995,164.550003,99.548309,18271192
2010-03-30,165.369995,170.669998,165.199997,170.440002,103.111603,29532516
2010-03-31,170.000000,173.860001,169.509995,171.500000,103.752884,28481384
2010-04-01,172.490005,176.139999,172.330002,175.000000,105.870293,29126428
2010-04-02,176.149994,176.699997,173.110001,175.339996,106.075966,13625197
2010-04-05,176.369995,176.550003,173.869995,175.880005,106.402641,10862970
2010-04-06,175.500000,178.830002,174.119995,177.100006,107.140717,32572420
2010-04-07,177.500000,178.039993,174.750000,174.990005,105.864227,18672044
2010-04-08,174.009995,176.990005,172.759995,174.539993,105.591980,19821218
2010-04-09,175.979996,176.630005,174.039993,175.149994,105.961021,18551800
2010-04-12,176.149994,177.479996,174.179993,175.399994,106.112251,13348055
2010-04-13,174.580002,175.919998,173.750000,174.300003,105.446793,29133148
2010-04-14,175.619995,181.610001,175.039993,181.399994,109.742088,31248810
2010-04-15,182.940002,185.220001,181.449997,185.160004,112.016800,33882192
2010-04-16,183.000000,183.860001,179.610001,179.990005,108.889099,23738198
2010-04-19,177.000000,177.100006,173.300003,174.509995,105.573845,29095640
2010-04-20,175.750000,176.899994,174.300003,175.149994,105.961021,24513316
2010-04-21,176.000000,176.750000,171.250000,173.089996,104.714783,23771286
2010-04-22,172.210007,175.500000,169.669998,170.699997,103.268898,23504364
2010-04-23,171.500000,175.050003,170.850006,175.000000,105.870293,22539926
2010-04-26,176.949997,178.679993,175.960007,177.990005,107.679161,20801530
