Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,1473.540039,1477.270020,1461.489990,1464.449951,1464.449951,0
2013-03-05,1485.040039,1486.729980,1485.040039,1486.420044,1486.420044,0
2013-03-06,1485.040039,1498.020020,1485.040039,1491.489990,1491.489990,0
2013-03-07,1491.989990,1498.290039,1489.020020,1491.349976,1491.349976,0
2013-03-11,1503.979980,1506.420044,1503.640015,1505.930054,1505.930054,0
2013-03-12,1501.410034,1501.410034,1499.380005,1499.739990,1499.739990,0
2013-03-13,1495.729980,1496.680054,1494.949951,1495.880005,1495.880005,0
2013-03-14,1498.829956,1502.520020,1498.180054,1502.520020,1502.520020,0
2013-03-15,1495.709961,1497.900024,1494.579956,1496.569946,1496.569946,0
2013-03-18,1461.880005,1464.550049,1461.359985,1462.560059,1462.560059,0
2013-03-19,1448.839966,1450.109985,1442.680054,1445.339966,1445.339966,0
2013-03-20,1458.239990,1461.359985,1457.930054,1458.790039,1458.790039,0
2013-03-21,1459.170044,1460.390015,1457.290039,1458.520020,1458.520020,0
2013-03-22,1441.260010,1442.880005,1439.560059,1440.989990,1440.989990,0
2013-03-25,null,null,null,null,null,null
2013-03-26,1416.780029,1420.119995,1416.780029,1420.020020,1420.020020,0
2013-03-27,1424.560059,1425.670044,1421.739990,1424.550049,1424.550049,0
2013-03-28,1434.880005,1437.500000,1433.660034,1436.619995,1436.619995,0
2013-03-29,null,null,null,null,null,null
2013-04-01,1428.290039,1429.569946,1427.010010,1427.709961,1427.709961,0
2013-04-02,1430.300049,1432.369995,1428.469971,1428.680054,1428.680054,0
2013-04-03,1427.420044,1428.020020,1420.959961,1420.959961,1420.959961,0
2013-04-04,1426.609985,1427.969971,1425.079956,1427.969971,1427.969971,0
2013-04-05,1417.280029,1418.560059,1416.500000,1417.660034,1417.660034,0
2013-04-08,1408.810059,1411.520020,1408.810059,1411.290039,1411.290039,0
2013-04-09,1425.790039,1426.400024,1425.560059,1425.719971,1425.719971,0
2013-04-10,1425.189941,1427.079956,1423.979980,1426.939941,1426.939941,0
2013-04-11,1400.920044,1401.459961,1399.880005,1401.459961,1401.459961,0
2013-04-12,1385.619995,1387.939941,1385.459961,1386.560059,1386.560059,0
2013-04-15,1358.229980,1358.420044,1354.349976,1354.349976,1354.349976,0
2013-04-16,1353.410034,1354.670044,1352.780029,1354.439941,1354.439941,0
2013-04-17,1335.910034,1339.400024,1335.910034,1339.400024,1339.400024,0
2013-04-18,1335.569946,1336.329956,1334.520020,1336.189941,1336.189941,0
2013-04-19,1338.670044,1340.349976,1337.569946,1339.670044,1339.670044,0
2013-04-22,1337.219971,1338.640015,1335.890015,1336.800049,1336.800049,0
2013-04-23,1339.510010,1340.819946,1337.530029,1339.040039,1339.040039,0
2013-04-24,1377.329956,1378.660034,1377.310059,1377.949951,1377.949951,0
2013-04-25,1372.500000,1375.729980,1371.489990,1372.349976,1372.349976,0
2013-04-26,1373.569946,1373.640015,1371.160034,1373.199951,1373.199951,0
2013-04-29,1363.380005,1363.589966,1361.890015,1363.099976,1363.099976,0
2013-04-30,1385.880005,1386.689941,1384.410034,1386.689941,1386.689941,0
2013-05-02,1377.449951,1382.540039,1377.140015,1382.130005,1382.130005,0
2013-05-03,1408.030029,1409.380005,1406.839966,1409.380005,1409.380005,0
2013-05-06,1413.020020,1414.020020,1411.910034,1413.959961,1413.959961,0
2013-05-07,1430.119995,1432.500000,1428.790039,1431.920044,1431.920044,0
2013-05-08,1431.310059,1433.199951,1431.310059,1432.739990,1432.739990,0
2013-05-10,1426.250000,1427.030029,1426.250000,1426.839966,1426.839966,0
2013-05-13,1414.790039,1414.790039,1409.400024,1411.209961,1411.209961,0
2013-05-14,1405.650024,1407.520020,1405.479980,1405.770020,1405.770020,0
2013-05-15,1392.540039,1394.310059,1391.839966,1393.540039,1393.540039,0
2013-05-16,1373.530029,1374.550049,1373.530029,1373.939941,1373.939941,0
2013-05-17,1401.430054,1404.050049,1401.430054,1404.020020,1404.020020,0
2013-05-20,1406.939941,1407.910034,1406.619995,1406.959961,1406.959961,0
2013-05-21,1423.109985,1425.239990,1422.400024,1423.550049,1423.550049,0
2013-05-22,1448.560059,1449.619995,1444.000000,1444.229980,1444.229980,0
2013-05-23,1397.750000,1399.560059,1397.750000,1399.439941,1399.439941,0
2013-05-24,1380.920044,1382.239990,1380.479980,1382.239990,1382.239990,0
2013-05-27,1378.250000,1378.660034,1378.069946,1378.640015,1378.640015,0
2013-05-28,1397.540039,1397.540039,1392.489990,1393.829956,1393.829956,0
2013-05-29,1361.160034,1362.719971,1360.270020,1362.719971,1362.719971,0
2013-05-30,1362.000000,1362.369995,1361.060059,1361.189941,1361.189941,0
2013-05-31,1350.170044,1350.170044,1343.989990,1343.989990,1343.989990,0
2013-06-03,1337.520020,1339.699951,1337.439941,1338.329956,1338.329956,0
2013-06-04,1341.329956,1342.780029,1340.780029,1341.640015,1341.640015,0
2013-06-05,1326.729980,1328.150024,1325.729980,1326.569946,1326.569946,0
2013-06-06,1316.319946,1320.949951,1315.420044,1320.949951,1320.949951,0
