Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees and/or spread) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees and/or spread) (USD)
,Reward,2023-09-04T16:00:00Z,CBETH,0.0000214477901935,0.0370640461119313925982179264352692,Coinbase,,,
42896a32-b5a1-5711-ac7f-b49712fc5135,Rewards,2023-09-04T21:18:32Z,USDC,0.064758,0.064758,Coinbase,,,
e0344ad8-09d1-5ca0-8484-02fd3f5f9c8c,Rewards,2023-09-04T21:28:00Z,DOT,0.0575232567,0.2429207130441,Coinbase,,,
168c0667-a125-5541-a9ca-b75939355651,Rewards,2023-09-05T21:06:42Z,DOT,0.1181396606,0.4995535548471,Coinbase,,,
c0d817e5-119e-5950-b295-43bd6cdac0cc,Rewards,2023-09-06T10:40:17Z,XTZ,0.392285,0.27224579,Coinbase,,,
6c9d6be6-0e74-5581-9eb7-9fb302affd6c,Rewards,2023-09-06T21:16:32Z,DOT,0.0539383235,0.22850970750775,Coinbase,,,
c57440c0-2c41-5853-ac00-cbc3a436dac2,Rewards,2023-09-06T22:43:42Z,SOL,0.018197805,0.356222032875,Coinbase,,,
60b0f5a7-42d1-5215-a456-33c847c428b1,Rewards,2023-09-07T00:31:15Z,ETH2,0.001119772723,1.827844207798205,Coinbase,,,
,Reward,2023-09-07T16:00:00Z,CBETH,0.0000656778338829,0.113652455604858433759909188910512,Coinbase,,,
9e720f5f-8c40-5456-b7f6-23703efad0e7,Rewards,2023-09-07T19:57:05Z,SOL,0.018213406,0.35798449493,Coinbase,,,
